着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id,horse_id,jockey_id,trainer_id,owner_id
1,3,6,ヴィブラフォン,牝3,54.0,横山武史,1:26.2,,2.4,1.0,448(+14),[東] 高木登,202205010301,2019105096,01170,01088,790005
2,6,12,オーロラアーク,牝3,54.0,武士沢友,1:26.4,1.1/4,5.2,3.0,418(-4),[東] 石栗龍彦,202205010301,2019102186,01029,01043,849033
3,6,11,ランパデール,牝3,54.0,丸山元気,1:27.1,4,15.5,6.0,422(+8),[東] 和田雄二,202205010301,2019105223,01127,01143,226800
4,8,15,ビッグロジールーフ,牝3,54.0,柴田大知,1:27.3,1.1/4,128.5,13.0,432(+4),[東] 田中剛,202205010301,2019104803,01009,01119,318031
5,1,2,ベストスマイル,牝3,54.0,伊藤工真,1:27.3,ハナ,75.0,12.0,448(+12),[東] 池上昌和,202205010301,2019105266,01119,01150,398030
6,5,9,パーチル,牝3,54.0,内田博幸,1:27.5,1.1/2,47.5,11.0,422(-4),[東] 宮田敬介,202205010301,2019106317,00422,01175,994002
7,5,10,クーシフォン,牝3,54.0,戸崎圭太,1:28.1,3.1/2,15.0,5.0,446(-2),[東] 牧光二,202205010301,2019102484,05386,01106,482002
8,2,3,ハクサンセーラー,牝3,54.0,江田照男,1:28.1,クビ,8.0,4.0,430(0),[東] 菊川正達,202205010301,2019102709,00689,01052,841030
9,8,16,ラブミーディザイア,牝3,54.0,大野拓弥,1:28.2,1/2,5.2,2.0,480(-4),[東] 和田勇介,202205010301,2019104083,01096,01165,966007
10,2,4,フラッシュサンダー,牝3,51.0,小林脩斗,1:28.3,クビ,27.2,8.0,422(-4),[東] 奥平雅士,202205010301,2019104650,01183,01074,148800
11,7,14,リュウノアン,牝3,54.0,松岡正海,1:28.4,1/2,223.6,14.0,442(-18),[東] 伊藤伸一,202205010301,2019103963,01085,01031,099031
12,4,8,ライズザトーチ,牝3,54.0,嶋田純次,1:28.6,3/4,17.3,7.0,538(-4),[東] 堀井雅広,202205010301,2019101271,01134,00436,491030
13,1,1,ベロア,牝3,54.0,石川裕紀,1:28.6,アタマ,30.4,9.0,424(-10),[東] 国枝栄,202205010301,2019105310,01150,00399,790005
14,7,13,キネンビ,牝3,54.0,菊沢一樹,1:29.5,5,312.3,16.0,462(+2),[東] 勢司和浩,202205010301,2019106435,01161,01047,074031
15,3,5,ピオニール,牝3,51.0,横山琉人,1:31.0,9,258.8,15.0,448(+22),[東] 斎藤誠,202205010301,2019101636,01192,01086,272008
16,4,7,ナツイチバン,牝3,54.0,吉田豊,1:33.2,大,43.3,10.0,464(-4),[東] 古賀史生,202205010301,2019102863,00733,00392,624007
1,8,15,ニシノスーベニア,牡3,56.0,内田博幸,1:20.3,,33.6,9.0,528(-8),[東] 上原博之,202205010302,2019101408,00422,00423,897009
2,6,11,モンサンレジャンド,牝3,54.0,戸崎圭太,1:20.6,1.3/4,34.5,10.0,458(+2),[東] 牧光二,202205010302,2019101671,05386,01106,919002
3,2,4,ナンデフェスティヴ,牝3,54.0,大野拓弥,1:20.7,1/2,30.5,7.0,460(+2),[東] 畠山吉宏,202205010302,2019101158,01096,01048,529031
4,3,6,メルト,牡3,56.0,的場勇人,1:20.9,1.1/4,24.3,6.0,508(+16),[東] 的場均,202205010302,2019103937,01108,01063,370033
5,7,14,サイキョウノオンナ,牝3,51.0,小林脩斗,1:21.0,クビ,387.8,14.0,456(+10),[東] 松山将樹,202205010302,2019100408,01183,01100,383002
6,4,8,ファームラヴ,牝3,52.0,永野猛蔵,1:21.0,クビ,31.6,8.0,452(-2),[東] 辻哲英,202205010302,2019101892,01188,01182,003060
7,2,3,ニシノコニャック,牡3,56.0,Ｍ．デム,1:21.1,1/2,1.7,1.0,472(0),[東] 伊藤大士,202205010302,2019100937,05212,01109,897009
8,7,13,ペイシャブライティ,牡3,54.0,山田敬士,1:21.3,1.1/4,17.6,5.0,500(-2),[東] 松永康利,202205010302,2019101096,01173,01093,163002
9,8,16,パイツィーレン,牝3,54.0,横山武史,1:21.3,アタマ,4.4,2.0,450(-6),[東] 鈴木伸尋,202205010302,2019100322,01170,01026,316031
10,3,5,フィーカ,牝3,54.0,田辺裕信,1:21.5,3/4,13.7,4.0,470(+4),[東] 矢野英一,202205010302,2019103946,01075,01108,100800
11,5,10,オリーヴベリー,牡3,56.0,三浦皇成,1:21.6,3/4,7.3,3.0,510(+8),[東] 武市康男,202205010302,2019104526,01122,01089,506800
12,6,12,ネクタリス,牡3,56.0,石川裕紀,1:21.6,クビ,63.7,11.0,466(-10),[東] 萩原清,202205010302,2019104737,01150,01017,758005
13,1,2,アポロウェイラーズ,牝3,54.0,吉田豊,1:23.5,大,315.9,13.0,464(-4),[東] 武藤善則,202205010302,2019102243,00733,01064,033700
14,5,9,シンソーブ,牝3,51.0,横山琉人,1:23.7,3/4,626.7,16.0,466(+6),[東] 上原博之,202205010302,2019101105,01192,00423,797008
15,4,7,ジャンヌデュモン,牝3,54.0,江田照男,1:23.9,1.1/2,577.1,15.0,408(-4),[東] 土田稔,202205010302,2019102462,00689,00417,898005
16,1,1,ムーンティアラ,牝3,54.0,野中悠太,1:25.8,大,232.5,12.0,434(0),[東] 菊川正達,202205010302,2019106201,01158,01052,520030
1,2,4,ドンレパルス,牡3,56.0,大野拓弥,1:39.3,,17.2,7.0,512(+12),[東] 高木登,202205010303,2019100553,01096,01088,440006
2,1,1,オクトニオン,牡3,56.0,横山武史,1:39.3,ハナ,3.3,1.0,522(-8),[東] 斎藤誠,202205010303,2019100835,01170,01086,268008
3,1,2,フランベルジュ,牡3,56.0,ルメール,1:39.9,3.1/2,3.8,2.0,508(0),[東] 大竹正博,202205010303,2019100655,05339,01102,788800
4,6,12,ラズライト,牝3,51.0,小林脩斗,1:40.3,2,48.3,9.0,432(-4),[東] 松山将樹,202205010303,2019103122,01183,01100,022700
5,8,15,ジョーカーブラウン,牡3,56.0,戸崎圭太,1:40.6,2,3.9,3.0,516(-4),[東] 松山将樹,202205010303,2019103488,05386,01100,081700
6,6,11,コスモガラクシア,牡3,56.0,柴田大知,1:40.8,1.1/4,8.6,4.0,490(+4),[東] 高橋祥泰,202205010303,2019105736,01009,00359,716800
7,3,5,ハローサブリナ,牝3,52.0,永野猛蔵,1:40.9,1/2,57.2,10.0,502(0),[東] 黒岩陽一,202205010303,2019104644,01188,01133,381031
8,8,16,ダイチヴィヴァン,牡3,56.0,北村宏司,1:41.0,クビ,13.5,6.0,476(+6),[東] 蛯名利弘,202205010303,2019102470,01043,01131,921031
9,5,9,ゴールドルパン,牡3,56.0,田辺裕信,1:41.0,クビ,24.0,8.0,480(+4),[東] 栗田徹,202205010303,2019105981,01075,01127,464030
10,7,14,ドルズプライスレス,牡3,56.0,武士沢友,1:41.2,1.1/4,11.6,5.0,510(-8),[東] 田島俊明,202205010303,2019100244,01029,01112,259031
11,2,3,スノーフォックス,セ3,56.0,江田照男,1:41.4,1.1/4,96.8,11.0,426(-4),[東] 田中剛,202205010303,2019101885,00689,01119,003060
12,4,8,ミスタートーザイ,牡3,56.0,菊沢一樹,1:41.4,アタマ,524.3,15.0,500(+6),[東] 勢司和浩,202205010303,2019104562,01161,01047,493006
13,4,7,ジュンオーズ,牡3,56.0,大庭和弥,1:41.6,1.1/4,239.3,13.0,434(0),[東] 勢司和浩,202205010303,2019109145,01061,01047,165033
14,7,13,ミッドナイトブルー,牝3,51.0,横山琉人,1:41.9,1.3/4,107.6,12.0,440(-2),[東] 大江原哲,202205010303,2019106952,01192,01012,855030
15,5,10,ジョリエス,牡3,56.0,石川裕紀,1:42.0,クビ,327.8,14.0,464(+2),[東] 小手川準,202205010303,2019102682,01150,01171,986031
16,3,6,ナイスサンデー,牡3,54.0,山田敬士,1:49.2,大,593.8,16.0,462(+10),[東] 小桧山悟,202205010303,2019105941,01173,01005,190033
1,6,11,リメイク,牡3,56.0,横山武史,1:25.3,,1.7,1.0,480(-8),[西] 新谷功一,202205010304,2019100636,01170,01172,948006
2,2,4,アポロリヤム,牡3,54.0,永野猛蔵,1:25.7,2.1/2,119.3,13.0,450(-6),[東] 鈴木伸尋,202205010304,2019101263,01188,01026,033700
3,8,15,プリーチトヤーン,牝3,51.0,横山琉人,1:25.8,3/4,27.8,7.0,462(+2),[東] 斎藤誠,202205010304,2019102817,01192,01086,227007
4,6,12,アーサーテソーロ,牡3,56.0,大野拓弥,1:26.0,1.1/4,5.5,3.0,516(-4),[東] 栗田徹,202205010304,2019106581,01096,01127,089803
5,4,8,スズカコテキタイ,牡3,56.0,岩部純二,1:26.2,1.1/4,24.4,6.0,480(0),[東] 柄崎孝,202205010304,2019105967,00726,00380,382004
6,5,9,イチゴキネンビ,牡3,54.0,山田敬士,1:26.4,3/4,275.3,16.0,466(0),[東] 小桧山悟,202205010304,2019102159,01173,01005,793800
7,2,3,ライラボンド,牡3,56.0,長岡禎仁,1:26.4,クビ,12.7,4.0,506(+2),[西] 清水久詞,202205010304,2019105913,01142,01110,188800
8,8,16,ゲンパチプライド,牡3,53.0,小林脩斗,1:26.4,ハナ,49.1,9.0,474(+8),[東] 堀井雅広,202205010304,2019102884,01183,00436,689002
9,1,2,トーセンキャロル,牝3,54.0,田辺裕信,1:26.7,2,49.3,10.0,460(+8),[東] 上原博之,202205010304,2019104415,01075,00423,270006
10,7,14,ローズブルーム,牝3,54.0,Ｍ．デム,1:26.8,1/2,30.4,8.0,452(+2),[東] 伊藤大士,202205010304,2019101428,05212,01109,629800
11,1,1,シュガーコルト,牡3,56.0,江田照男,1:26.9,クビ,201.5,15.0,506(-6),[西] 寺島良,202205010304,2019106364,00689,01158,994002
12,7,13,ベアグッジョブ,牡3,56.0,丸田恭介,1:26.9,ハナ,104.4,11.0,496(+2),[東] 杉浦宏昭,202205010304,2019101139,01117,01008,372033
13,3,6,モズゴールドメダル,牝3,54.0,津村明秀,1:27.1,1,118.9,12.0,442(-2),[東] 林徹,202205010304,2019101929,01092,01163,005803
